genero,edad,region,nivel_educacion,sector_economico,situacion_laboral,ingreso_mensual,ocupado
Hombre,50,Los Ríos,Media,Minería,Ocupado,1435000.0,True
Mujer,49,Magallanes,Universitaria,Educación y salud,Ocupado,1023000.0,True
Mujer,51,Valparaíso,Media,Construcción,Ocupado,292000.0,True
Hombre,41,Los Lagos,Postgrado,Agricultura,Ocupado,2735000.0,True
Mujer,37,Maule,Técnica,,Inactivo,,False
Mujer,24,Metropolitana,Media,,Inactivo,,False
Mujer,34,Los Lagos,Media,Servicio doméstico,Ocupado,283000.0,True
Hombre,20,Maule,Media,,Inactivo,,False
Hombre,28,Metropolitana,Básica,Comercio,Ocupado,273000.0,True
Hombre,43,Valparaíso,Universitaria,,Desocupado,,False
Hombre,40,Metropolitana,Universitaria,Agricultura,Ocupado,669000.0,True
Mujer,80,Araucanía,Básica,,Inactivo,,False
Hombre,20,Valparaíso,Básica,Construcción,Ocupado,1073000.0,True
Mujer,39,Tarapacá,Media,Comercio,Ocupado,481000.0,True
Mujer,19,Metropolitana,Técnica,Comercio,Ocupado,740000.0,True
Hombre,35,Metropolitana,Media,,Desocupado,,False
Mujer,36,Metropolitana,Técnica,,Inactivo,,False
Hombre,55,Los Ríos,Básica,,Inactivo,,False
Hombre,34,Metropolitana,Universitaria,Servicios financieros,Ocupado,1500000.0,True
Hombre,38,Araucanía,Básica,Minería,Ocupado,562000.0,True
Hombre,35,Metropolitana,Media,Minería,Ocupado,897000.0,True
Hombre,19,Metropolitana,Universitaria,,Desocupado,,False
Mujer,31,Valparaíso,Técnica,Comercio,Ocupado,1270000.0,True
Mujer,35,Metropolitana,Media,Educación y salud,Ocupado,623000.0,True
Mujer,43,Araucanía,Universitaria,,Inactivo,,False
Mujer,50,Biobío,Básica,,Inactivo,,False
Mujer,38,Metropolitana,Básica,Comercio,Ocupado,181000.0,True
Hombre,37,Araucanía,Básica,Construcción,Ocupado,420000.0,True
Mujer,15,Biobío,Media,Servicio doméstico,Ocupado,223000.0,True
Mujer,50,Coquimbo,Técnica,Educación y salud,Ocupado,783000.0,True
Mujer,30,Metropolitana,Media,,Inactivo,,False
Mujer,53,Biobío,Media,Comercio,Ocupado,386000.0,True
Hombre,63,Biobío,Universitaria,Educación y salud,Ocupado,734000.0,True
Hombre,38,Coquimbo,Media,Comercio,Ocupado,796000.0,True
Hombre,25,Valparaíso,Básica,Educación y salud,Ocupado,1022000.0,True
Hombre,41,Metropolitana,Media,,Inactivo,,False
Mujer,47,Metropolitana,Técnica,,Inactivo,,False
Hombre,36,Coquimbo,Media,Agricultura,Ocupado,146000.0,True
Mujer,32,Metropolitana,Postgrado,,Inactivo,,False
Mujer,51,Metropolitana,Universitaria,,Inactivo,,False
Mujer,49,Valparaíso,Universitaria,,Inactivo,,False
Hombre,36,Metropolitana,Técnica,Minería,Ocupado,1491000.0,True
Mujer,15,Antofagasta,Media,Industria,Ocupado,386000.0,True
Mujer,49,Metropolitana,Universitaria,,Inactivo,,False
Mujer,29,Biobío,Media,Educación y salud,Ocupado,284000.0,True
Mujer,45,Araucanía,Media,Servicios financieros,Ocupado,193000.0,True
Hombre,44,Metropolitana,Media,Construcción,Ocupado,838000.0,True
Mujer,15,Araucanía,Universitaria,,Desocupado,,False
Mujer,43,Araucanía,Media,Transporte,Ocupado,332000.0,True
Mujer,50,Metropolitana,Universitaria,,Inactivo,,False
Hombre,52,Los Lagos,Postgrado,Construcción,Ocupado,1098000.0,True
Mujer,43,Metropolitana,Media,,Inactivo,,False
Mujer,15,Antofagasta,Media,,Inactivo,,False
Mujer,62,Biobío,Básica,,Inactivo,,False
Hombre,48,Metropolitana,Media,Construcción,Ocupado,1338000.0,True
Hombre,22,Metropolitana,Técnica,Minería,Ocupado,977000.0,True
Hombre,29,Antofagasta,Media,Comercio,Ocupado,457000.0,True
Mujer,45,Antofagasta,Media,,Inactivo,,False
Hombre,52,Coquimbo,Media,Educación y salud,Ocupado,264000.0,True
Hombre,34,Valparaíso,Media,Servicio doméstico,Ocupado,215000.0,True
Hombre,55,Los Lagos,Básica,Agricultura,Ocupado,676000.0,True
Mujer,15,Metropolitana,Media,,Inactivo,,False
Mujer,25,Biobío,Universitaria,Servicios financieros,Ocupado,1606000.0,True
Mujer,15,Tarapacá,Media,,Inactivo,,False
Hombre,27,Metropolitana,Básica,Industria,Ocupado,920000.0,True
Mujer,66,Araucanía,Media,,Desocupado,,False
Mujer,74,Valparaíso,Técnica,,Inactivo,,False
Mujer,45,Metropolitana,Técnica,Educación y salud,Ocupado,499000.0,True
Hombre,31,Biobío,Media,Construcción,Ocupado,633000.0,True
Mujer,38,Coquimbo,Media,Servicio doméstico,Ocupado,545000.0,True
Hombre,49,Antofagasta,Técnica,Educación y salud,Ocupado,1239000.0,True
Hombre,16,Los Lagos,Universitaria,,Inactivo,,False
Hombre,32,Metropolitana,Técnica,,Desocupado,,False
Mujer,64,O'Higgins,Técnica,,Inactivo,,False
Hombre,25,Coquimbo,Básica,Construcción,Ocupado,806000.0,True
Hombre,30,Valparaíso,Media,,Inactivo,,False
Hombre,42,Metropolitana,Universitaria,,Desocupado,,False
Mujer,46,O'Higgins,Básica,,Inactivo,,False
Mujer,31,Metropolitana,Media,Transporte,Ocupado,701000.0,True
Mujer,43,Araucanía,Técnica,,Inactivo,,False
Mujer,51,Biobío,Universitaria,,Inactivo,,False
Mujer,73,Metropolitana,Básica,,Inactivo,,False
Mujer,39,Metropolitana,Universitaria,Educación y salud,Ocupado,1149000.0,True
Mujer,41,Metropolitana,Media,,Desocupado,,False
Hombre,66,Maule,Universitaria,Comercio,Ocupado,227000.0,True
Mujer,33,Valparaíso,Universitaria,Educación y salud,Ocupado,1214000.0,True
Hombre,20,Biobío,Técnica,,Inactivo,,False
Hombre,46,Metropolitana,Universitaria,Agricultura,Ocupado,1350000.0,True
Mujer,59,Los Ríos,Postgrado,Minería,Ocupado,4076000.0,True
Hombre,47,Los Lagos,Universitaria,Transporte,Ocupado,649000.0,True
Mujer,40,Tarapacá,Media,,Inactivo,,False
Hombre,18,Metropolitana,Media,Comercio,Ocupado,485000.0,True
Mujer,41,Metropolitana,Básica,,Inactivo,,False
Hombre,61,Metropolitana,Media,Transporte,Ocupado,266000.0,True
Mujer,22,Biobío,Técnica,Comercio,Ocupado,201000.0,True
Mujer,38,Valparaíso,Básica,Comercio,Ocupado,452000.0,True
Mujer,35,Metropolitana,Universitaria,Industria,Ocupado,2366000.0,True
Hombre,30,Los Lagos,Media,Servicios financieros,Ocupado,1485000.0,True
Hombre,45,Magallanes,Básica,Construcción,Ocupado,587000.0,True
Mujer,49,Arica y Parinacota,Media,Industria,Ocupado,1605000.0,True
Mujer,48,Los Lagos,Básica,Comercio,Ocupado,268000.0,True
Mujer,26,Coquimbo,Básica,,Inactivo,,False
Hombre,15,Metropolitana,Media,,Inactivo,,False
Mujer,46,Metropolitana,Media,Servicio doméstico,Ocupado,643000.0,True
Mujer,33,Metropolitana,Universitaria,Educación y salud,Ocupado,538000.0,True
Hombre,71,Antofagasta,Media,Educación y salud,Ocupado,114000.0,True
Hombre,72,Metropolitana,Técnica,,Inactivo,,False
Mujer,73,Metropolitana,Técnica,,Inactivo,,False
Hombre,26,Los Ríos,Básica,,Inactivo,,False
Mujer,51,Metropolitana,Básica,Servicio doméstico,Ocupado,211000.0,True
Hombre,55,Maule,Universitaria,,Inactivo,,False
Mujer,54,O'Higgins,Técnica,,Desocupado,,False
Hombre,36,Metropolitana,Básica,Agricultura,Ocupado,332000.0,True
Hombre,62,Tarapacá,Técnica,Educación y salud,Ocupado,864000.0,True
Hombre,42,Coquimbo,Media,Construcción,Ocupado,493000.0,True
Mujer,44,Metropolitana,Básica,,Inactivo,,False
Hombre,17,Los Lagos,Media,,Inactivo,,False
Mujer,52,Metropolitana,Técnica,Educación y salud,Ocupado,967000.0,True
Mujer,37,Maule,Media,Servicios financieros,Ocupado,1694000.0,True
Hombre,49,Biobío,Media,Comercio,Ocupado,758000.0,True
Mujer,45,Araucanía,Básica,Educación y salud,Ocupado,210000.0,True
Hombre,44,Metropolitana,Básica,,Inactivo,,False
Hombre,41,Los Ríos,Media,Minería,Ocupado,229000.0,True
Mujer,54,Metropolitana,Media,Servicios financieros,Ocupado,483000.0,True
Hombre,38,Metropolitana,Universitaria,Industria,Ocupado,2728000.0,True
Mujer,18,Biobío,Técnica,Industria,Ocupado,403000.0,True
Hombre,51,Metropolitana,Básica,Comercio,Ocupado,635000.0,True
Mujer,29,Biobío,Básica,Educación y salud,Ocupado,467000.0,True
Hombre,20,O'Higgins,Media,Industria,Ocupado,473000.0,True
Mujer,25,Biobío,Universitaria,,Inactivo,,False
Mujer,46,Biobío,Media,,Inactivo,,False
Mujer,40,Metropolitana,Universitaria,,Desocupado,,False
Hombre,15,Antofagasta,Media,,Inactivo,,False
Hombre,35,Metropolitana,Media,Agricultura,Ocupado,480000.0,True
Hombre,60,Araucanía,Media,Educación y salud,Ocupado,337000.0,True
Hombre,34,Metropolitana,Técnica,Comercio,Ocupado,2528000.0,True
Hombre,39,Araucanía,Media,Transporte,Ocupado,274000.0,True
Hombre,58,Metropolitana,Media,Agricultura,Ocupado,958000.0,True
Mujer,54,Metropolitana,Media,,Inactivo,,False
Hombre,58,Araucanía,Postgrado,Comercio,Ocupado,1819000.0,True
Hombre,15,Ñuble,Media,,Inactivo,,False
Mujer,69,Metropolitana,Técnica,Servicio doméstico,Ocupado,629000.0,True
Mujer,52,Tarapacá,Universitaria,Agricultura,Ocupado,764000.0,True
Hombre,80,Araucanía,Media,,Inactivo,,False
Mujer,29,Biobío,Media,Educación y salud,Ocupado,208000.0,True
Hombre,15,Metropolitana,Básica,,Inactivo,,False
Mujer,42,Metropolitana,Técnica,Comercio,Ocupado,378000.0,True
Mujer,37,Valparaíso,Universitaria,,Inactivo,,False
Hombre,52,Metropolitana,Postgrado,Minería,Ocupado,2006000.0,True
Mujer,59,Valparaíso,Media,,Inactivo,,False
Mujer,40,Valparaíso,Universitaria,Educación y salud,Ocupado,1231000.0,True
Hombre,38,Biobío,Media,Comercio,Ocupado,803000.0,True
Hombre,50,Metropolitana,Técnica,,Desocupado,,False
Mujer,37,Biobío,Media,Educación y salud,Ocupado,592000.0,True
Mujer,36,Metropolitana,Media,Educación y salud,Ocupado,706000.0,True
Hombre,58,Atacama,Técnica,Construcción,Ocupado,1374000.0,True
Hombre,62,Metropolitana,Media,Comercio,Ocupado,191000.0,True
Mujer,59,Valparaíso,Postgrado,Comercio,Ocupado,378000.0,True
Mujer,39,Maule,Media,Comercio,Ocupado,184000.0,True
Mujer,15,Araucanía,Universitaria,,Inactivo,,False
Mujer,39,Ñuble,Media,Comercio,Ocupado,692000.0,True
Mujer,29,Biobío,Básica,,Inactivo,,False
Hombre,39,Araucanía,Media,Educación y salud,Ocupado,161000.0,True
Mujer,31,Biobío,Técnica,Comercio,Ocupado,537000.0,True
Mujer,41,Metropolitana,Universitaria,,Desocupado,,False
Hombre,25,Maule,Básica,Construcción,Ocupado,196000.0,True
Hombre,21,Metropolitana,Media,Comercio,Ocupado,564000.0,True
Mujer,61,Atacama,Media,Educación y salud,Ocupado,520000.0,True
Hombre,26,Maule,Técnica,Servicios financieros,Ocupado,926000.0,True
Hombre,42,Maule,Técnica,Transporte,Ocupado,500000.0,True
Hombre,57,Valparaíso,Universitaria,Industria,Ocupado,1694000.0,True
Mujer,56,Los Lagos,Media,Comercio,Ocupado,1051000.0,True
Mujer,54,Antofagasta,Básica,,Inactivo,,False
Hombre,46,Maule,Media,Servicios financieros,Ocupado,1460000.0,True
Mujer,53,Los Lagos,Universitaria,,Inactivo,,False
Mujer,63,Metropolitana,Media,Servicio doméstico,Ocupado,308000.0,True
Mujer,48,Araucanía,Media,Servicio doméstico,Ocupado,176000.0,True
Hombre,15,Biobío,Universitaria,Educación y salud,Ocupado,860000.0,True
Hombre,33,Maule,Media,Construcción,Ocupado,1479000.0,True
Mujer,53,Los Lagos,Media,,Inactivo,,False
Hombre,31,O'Higgins,Básica,Minería,Ocupado,618000.0,True
Mujer,67,Metropolitana,Universitaria,Educación y salud,Ocupado,1733000.0,True
Hombre,40,O'Higgins,Técnica,Comercio,Ocupado,975000.0,True
Hombre,43,Metropolitana,Media,Industria,Ocupado,1098000.0,True
Mujer,59,Metropolitana,Media,,Desocupado,,False
Mujer,39,Atacama,Media,Educación y salud,Ocupado,1143000.0,True
Mujer,44,Metropolitana,Técnica,,Inactivo,,False
Hombre,56,Biobío,Media,Servicio doméstico,Ocupado,166000.0,True
Hombre,18,Los Lagos,Media,Minería,Ocupado,455000.0,True
Hombre,37,Los Lagos,Media,Construcción,Ocupado,567000.0,True
Hombre,55,Valparaíso,Postgrado,,Desocupado,,False
Mujer,43,Metropolitana,Media,Servicios financieros,Ocupado,1713000.0,True
Hombre,65,Metropolitana,Media,Industria,Ocupado,1342000.0,True
Mujer,16,Valparaíso,Media,Servicio doméstico,Ocupado,254000.0,True
Mujer,15,Metropolitana,Técnica,,Inactivo,,False
Hombre,54,Metropolitana,Universitaria,Transporte,Ocupado,2096000.0,True
Hombre,55,Los Lagos,Postgrado,Industria,Ocupado,1223000.0,True
Mujer,38,Metropolitana,Media,Servicio doméstico,Ocupado,243000.0,True
Hombre,48,Biobío,Media,Construcción,Ocupado,269000.0,True
Hombre,53,Araucanía,Media,Comercio,Ocupado,417000.0,True
Hombre,28,Maule,Técnica,Transporte,Ocupado,470000.0,True
Hombre,30,Valparaíso,Técnica,Educación y salud,Ocupado,1201000.0,True
Mujer,45,Metropolitana,Media,,Inactivo,,False
Mujer,56,Los Lagos,Media,Comercio,Ocupado,640000.0,True
Mujer,23,Atacama,Media,,Inactivo,,False
Hombre,38,Coquimbo,Técnica,Comercio,Ocupado,627000.0,True
Hombre,38,Los Lagos,Media,Transporte,Ocupado,546000.0,True
Mujer,48,Biobío,Media,Servicio doméstico,Ocupado,253000.0,True
Mujer,41,Maule,Básica,,Inactivo,,False
Mujer,33,Valparaíso,Media,Servicio doméstico,Ocupado,121000.0,True
Hombre,61,Metropolitana,Media,Educación y salud,Ocupado,349000.0,True
Hombre,33,Biobío,Técnica,Agricultura,Ocupado,774000.0,True
Mujer,37,Metropolitana,Técnica,,Inactivo,,False
Mujer,16,Valparaíso,Media,,Inactivo,,False
Hombre,30,Arica y Parinacota,Media,Construcción,Ocupado,461000.0,True
Mujer,50,Metropolitana,Universitaria,Comercio,Ocupado,517000.0,True
Hombre,47,Metropolitana,Universitaria,Comercio,Ocupado,2450000.0,True
Mujer,51,Araucanía,Técnica,,Inactivo,,False
Mujer,50,Metropolitana,Técnica,,Desocupado,,False
Hombre,75,Valparaíso,Universitaria,,Inactivo,,False
Mujer,30,Los Lagos,Técnica,,Inactivo,,False
Mujer,16,Los Lagos,Media,,Inactivo,,False
Mujer,25,O'Higgins,Media,Servicio doméstico,Ocupado,723000.0,True
Mujer,30,Los Ríos,Básica,,Inactivo,,False
Mujer,26,Valparaíso,Universitaria,Educación y salud,Ocupado,1753000.0,True
Mujer,43,Metropolitana,Técnica,,Inactivo,,False
Mujer,62,Valparaíso,Postgrado,,Desocupado,,False
Mujer,66,Metropolitana,Básica,,Inactivo,,False
Hombre,50,Biobío,Media,Agricultura,Ocupado,537000.0,True
Hombre,76,Biobío,Técnica,,Inactivo,,False
Mujer,36,Arica y Parinacota,Universitaria,,Desocupado,,False
Mujer,15,Metropolitana,Universitaria,,Inactivo,,False
Mujer,58,Magallanes,Media,Educación y salud,Ocupado,699000.0,True
Hombre,15,Metropolitana,Postgrado,,Inactivo,,False
Hombre,29,Metropolitana,Postgrado,Agricultura,Ocupado,1232000.0,True
Mujer,50,Metropolitana,Postgrado,,Inactivo,,False
Mujer,40,Metropolitana,Técnica,,Inactivo,,False
Mujer,38,Metropolitana,Universitaria,,Inactivo,,False
Mujer,23,Metropolitana,Básica,Industria,Ocupado,435000.0,True
Hombre,41,Metropolitana,Media,Transporte,Ocupado,917000.0,True
Mujer,58,Metropolitana,Básica,,Desocupado,,False
Mujer,42,Metropolitana,Media,Servicio doméstico,Ocupado,574000.0,True
Mujer,28,Tarapacá,Postgrado,,Inactivo,,False
Hombre,22,Antofagasta,Técnica,Construcción,Ocupado,972000.0,True
Mujer,29,Metropolitana,Media,Educación y salud,Ocupado,96000.0,True
Hombre,48,Araucanía,Universitaria,Comercio,Ocupado,1571000.0,True
Mujer,47,Biobío,Media,Industria,Ocupado,600000.0,True
Hombre,29,Coquimbo,Media,Comercio,Ocupado,216000.0,True
Mujer,15,Metropolitana,Técnica,,Inactivo,,False
Hombre,48,Metropolitana,Media,Agricultura,Ocupado,587000.0,True
Hombre,27,Metropolitana,Técnica,Servicios financieros,Ocupado,1259000.0,True
Hombre,53,Maule,Universitaria,Transporte,Ocupado,391000.0,True
Hombre,29,Magallanes,Media,Industria,Ocupado,444000.0,True
Hombre,26,Coquimbo,Media,Industria,Ocupado,279000.0,True
Hombre,44,Metropolitana,Media,Industria,Ocupado,421000.0,True
Hombre,79,Metropolitana,Universitaria,,Inactivo,,False
Mujer,53,Metropolitana,Media,,Desocupado,,False
Hombre,44,Valparaíso,Universitaria,Educación y salud,Ocupado,1512000.0,True
Hombre,47,O'Higgins,Técnica,Educación y salud,Ocupado,506000.0,True
Hombre,15,Antofagasta,Básica,,Inactivo,,False
Mujer,24,Maule,Media,,Inactivo,,False
Mujer,15,O'Higgins,Media,,Inactivo,,False
Hombre,69,Metropolitana,Básica,Educación y salud,Ocupado,464000.0,True
Mujer,66,Aysén,Media,,Inactivo,,False
Mujer,48,Biobío,Técnica,Servicios financieros,Ocupado,1331000.0,True
Mujer,44,Metropolitana,Técnica,Servicio doméstico,Ocupado,385000.0,True
Mujer,17,Aysén,Media,,Inactivo,,False
Mujer,38,Biobío,Media,Educación y salud,Ocupado,767000.0,True
Mujer,70,Valparaíso,Media,Comercio,Ocupado,952000.0,True
Mujer,44,Metropolitana,Universitaria,,Inactivo,,False
Mujer,32,Metropolitana,Universitaria,,Inactivo,,False
Mujer,15,O'Higgins,Técnica,Servicios financieros,Ocupado,1079000.0,True
Hombre,64,Los Lagos,Media,Construcción,Ocupado,755000.0,True
Mujer,40,Metropolitana,Universitaria,,Inactivo,,False
Hombre,15,Atacama,Universitaria,,Inactivo,,False
Hombre,27,Metropolitana,Básica,,Inactivo,,False
Mujer,21,Biobío,Media,,Inactivo,,False
Mujer,39,Metropolitana,Media,Comercio,Ocupado,900000.0,True
Hombre,45,Tarapacá,Técnica,,Inactivo,,False
Hombre,33,Metropolitana,Media,Industria,Ocupado,849000.0,True
Hombre,54,O'Higgins,Media,Construcción,Ocupado,905000.0,True
Hombre,43,Coquimbo,Media,Comercio,Ocupado,260000.0,True
Hombre,58,Metropolitana,Media,Industria,Ocupado,682000.0,True
Hombre,36,Valparaíso,Técnica,,Desocupado,,False
Mujer,80,Metropolitana,Media,,Inactivo,,False
Hombre,32,Valparaíso,Media,,Desocupado,,False
Mujer,27,Coquimbo,Técnica,Comercio,Ocupado,638000.0,True
Hombre,25,Maule,Postgrado,Transporte,Ocupado,1098000.0,True
Hombre,38,Valparaíso,Básica,Comercio,Ocupado,1467000.0,True
Mujer,15,Valparaíso,Media,,Inactivo,,False
Hombre,46,Metropolitana,Media,Construcción,Ocupado,620000.0,True
Mujer,15,Antofagasta,Media,,Inactivo,,False
Hombre,44,Tarapacá,Universitaria,,Desocupado,,False
Mujer,20,Metropolitana,Universitaria,,Inactivo,,False
Hombre,35,Metropolitana,Media,Educación y salud,Ocupado,248000.0,True
Mujer,51,Metropolitana,Media,,Inactivo,,False
Hombre,78,Magallanes,Básica,,Inactivo,,False
Hombre,24,Metropolitana,Técnica,Construcción,Ocupado,768000.0,True
Hombre,39,Metropolitana,Básica,Construcción,Ocupado,746000.0,True
Hombre,30,Los Ríos,Media,Industria,Ocupado,323000.0,True
Hombre,28,Metropolitana,Básica,,Inactivo,,False
Hombre,30,Biobío,Técnica,Construcción,Ocupado,630000.0,True
Mujer,55,Metropolitana,Universitaria,,Inactivo,,False
Hombre,34,O'Higgins,Básica,Industria,Ocupado,382000.0,True
Mujer,77,Los Ríos,Técnica,Servicio doméstico,Ocupado,309000.0,True
Hombre,48,Arica y Parinacota,Universitaria,Educación y salud,Ocupado,719000.0,True
Mujer,25,Araucanía,Básica,Servicios financieros,Ocupado,708000.0,True
Hombre,36,Metropolitana,Universitaria,Industria,Ocupado,4246000.0,True
Hombre,29,Metropolitana,Técnica,Minería,Ocupado,851000.0,True
Mujer,54,Metropolitana,Media,,Inactivo,,False
Hombre,15,Metropolitana,Técnica,,Inactivo,,False
Hombre,20,Antofagasta,Media,,Desocupado,,False
Hombre,32,Los Lagos,Básica,Transporte,Ocupado,174000.0,True
Mujer,52,Metropolitana,Media,,Inactivo,,False
Hombre,61,Araucanía,Técnica,,Inactivo,,False
Hombre,64,Metropolitana,Universitaria,Educación y salud,Ocupado,955000.0,True
Mujer,50,Metropolitana,Media,Servicios financieros,Ocupado,1902000.0,True
Mujer,40,Metropolitana,Media,,Inactivo,,False
Mujer,54,Valparaíso,Básica,,Inactivo,,False
Hombre,23,Metropolitana,Universitaria,,Inactivo,,False
Mujer,15,Los Lagos,Media,Servicio doméstico,Ocupado,211000.0,True
Hombre,48,Araucanía,Universitaria,,Desocupado,,False
Hombre,25,Metropolitana,Media,Industria,Ocupado,774000.0,True
Mujer,40,Metropolitana,Básica,Educación y salud,Ocupado,265000.0,True
Hombre,43,Metropolitana,Media,Agricultura,Ocupado,1393000.0,True
Hombre,45,Metropolitana,Media,Comercio,Ocupado,529000.0,True
Mujer,57,O'Higgins,Media,Educación y salud,Ocupado,594000.0,True
Mujer,55,Metropolitana,Universitaria,Educación y salud,Ocupado,753000.0,True
Mujer,45,Tarapacá,Media,Servicio doméstico,Ocupado,219000.0,True
Mujer,34,Atacama,Básica,,Inactivo,,False
Mujer,43,Los Lagos,Técnica,Industria,Ocupado,681000.0,True
Hombre,32,Maule,Media,Industria,Ocupado,549000.0,True
Mujer,38,Los Lagos,Técnica,,Desocupado,,False
Mujer,80,Metropolitana,Universitaria,,Inactivo,,False
Hombre,44,Metropolitana,Postgrado,Transporte,Ocupado,2734000.0,True
Hombre,49,Metropolitana,Media,Comercio,Ocupado,247000.0,True
Hombre,30,Araucanía,Media,,Inactivo,,False
Hombre,58,Metropolitana,Media,,Inactivo,,False
Mujer,54,Maule,Media,,Inactivo,,False
Mujer,54,Valparaíso,Media,,Desocupado,,False
Hombre,45,Coquimbo,Básica,Educación y salud,Ocupado,228000.0,True
Hombre,58,Valparaíso,Media,Servicios financieros,Ocupado,558000.0,True
Hombre,62,Metropolitana,Postgrado,,Desocupado,,False
Mujer,46,Biobío,Universitaria,,Inactivo,,False
Hombre,40,Magallanes,Básica,Comercio,Ocupado,439000.0,True
Hombre,56,Metropolitana,Postgrado,Comercio,Ocupado,864000.0,True
Mujer,27,Metropolitana,Universitaria,,Inactivo,,False
Hombre,30,Biobío,Básica,,Inactivo,,False
Hombre,41,Antofagasta,Universitaria,Transporte,Ocupado,1188000.0,True
Mujer,15,Biobío,Postgrado,Agricultura,Ocupado,534000.0,True
Mujer,55,Ñuble,Técnica,,Inactivo,,False
Hombre,26,Metropolitana,Universitaria,Construcción,Ocupado,1049000.0,True
Mujer,34,Tarapacá,Media,Construcción,Ocupado,360000.0,True
Mujer,38,Valparaíso,Media,Comercio,Ocupado,279000.0,True
Mujer,42,Metropolitana,Técnica,Servicio doméstico,Ocupado,569000.0,True
Mujer,36,Los Lagos,Media,,Desocupado,,False
Hombre,40,O'Higgins,Media,Comercio,Ocupado,935000.0,True
Hombre,41,Metropolitana,Técnica,Educación y salud,Ocupado,1332000.0,True
Mujer,34,Metropolitana,Universitaria,Servicio doméstico,Ocupado,1276000.0,True
Hombre,29,Biobío,Universitaria,Servicios financieros,Ocupado,2562000.0,True
Hombre,59,Metropolitana,Básica,,Inactivo,,False
Mujer,15,Coquimbo,Media,,Inactivo,,False
Hombre,38,O'Higgins,Básica,Servicios financieros,Ocupado,492000.0,True
Mujer,34,Metropolitana,Técnica,,Inactivo,,False
Hombre,48,Metropolitana,Media,Minería,Ocupado,3313000.0,True
Hombre,18,Metropolitana,Universitaria,Industria,Ocupado,1603000.0,True
Hombre,34,Metropolitana,Técnica,Transporte,Ocupado,464000.0,True
Mujer,40,Los Ríos,Media,,Inactivo,,False
Hombre,59,Biobío,Técnica,Industria,Ocupado,495000.0,True
Mujer,47,Magallanes,Media,,Inactivo,,False
Mujer,23,Los Lagos,Básica,,Inactivo,,False
Mujer,34,Metropolitana,Básica,Transporte,Ocupado,438000.0,True
Hombre,56,Metropolitana,Media,,Inactivo,,False
Mujer,22,Maule,Universitaria,Servicio doméstico,Ocupado,760000.0,True
